# Generated by workflow/scripts/update_genomes.py from the Ensembl FTP listings.
# Do not edit by hand - rerun the script instead.
# Columns: release,species,common name,genome assembly
release-89,rattus_norvegicus,rat,Rnor_6.0
release-89,saccharomyces_cerevisiae,baker's yeast,R64-1-1
release-89,sus_scrofa,pig,Sscrofa10.2
release-89,taeniopygia_guttata,zebra finch,taeGut3.2.4
release-89,tetraodon_nigroviridis,spotted green pufferfish,TETRAODON8
release-90,bos_taurus,bovine,UMD3.1
release-90,canis_familiaris,dog,CanFam3.1
release-90,danio_rerio,zebrafish,GRCz10
release-90,drosophila_melanogaster,fruit fly,BDGP6
release-90,equus_caballus,horse,EquCab2
release-90,felis_catus,cat,Felis_catus_6.2
release-90,gallus_gallus,chicken,Gallus_gallus-5.0
release-90,homo_sapiens,human,GRCh38
release-90,macaca_mulatta,rhesus macaque,Mmul_8.0.1
release-90,meleagris_gallopavo,wild turkey,UMD2
release-90,monodelphis_domestica,gray short-tailed opossum,BROADO5
release-90,mus_musculus,mouse,GRCm38
release-90,nomascus_leucogenys,northern white-cheeked gibbon,Nleu1.0
release-90,ornithorhynchus_anatinus,duckbill platypus,OANA5
release-90,ovis_aries,sheep,Oar_v3.1
release-90,pan_troglodytes,chimpanzee,CHIMP2.1.4
release-90,pongo_abelii,sumatran orangutan,PPYG2
release-90,rattus_norvegicus,rat,Rnor_6.0
release-90,saccharomyces_cerevisiae,baker's yeast,R64-1-1
release-90,taeniopygia_guttata,zebra finch,taeGut3.2.4
release-90,tetraodon_nigroviridis,spotted green pufferfish,TETRAODON8
release-91,bos_taurus,bovine,UMD3.1
release-91,canis_familiaris,dog,CanFam3.1
release-91,danio_rerio,zebrafish,GRCz10
release-91,drosophila_melanogaster,fruit fly,BDGP6
release-91,equus_caballus,horse,EquCab2
release-91,gallus_gallus,chicken,Gallus_gallus-5.0
release-91,homo_sapiens,human,GRCh38
release-91,macaca_mulatta,rhesus macaque,Mmul_8.0.1
release-91,meleagris_gallopavo,wild turkey,UMD2
release-91,mus_musculus,mouse,GRCm38
release-91,ornithorhynchus_anatinus,duckbill platypus,OANA5
release-91,ovis_aries,sheep,Oar_v3.1
release-91,pongo_abelii,sumatran orangutan,PPYG2
release-91,rattus_norvegicus,rat,Rnor_6.0
release-91,saccharomyces_cerevisiae,baker's yeast,R64-1-1
release-91,taeniopygia_guttata,zebra finch,taeGut3.2.4
release-91,tetraodon_nigroviridis,spotted green pufferfish,TETRAODON8
release-92,bos_taurus,bovine,UMD3.1
release-92,canis_familiaris,dog,CanFam3.1
release-92,drosophila_melanogaster,fruit fly,BDGP6
release-92,equus_caballus,horse,EquCab2
release-92,gallus_gallus,chicken,Gallus_gallus-5.0
release-92,homo_sapiens,human,GRCh38
release-92,macaca_mulatta,rhesus macaque,Mmul_8.0.1
